agent_zone,category,brand_folder,filename,file_size_mb,db_source,ingest_status,agent_text_chunks,agent_visual_assets,storage_path
Product Rep,B_Enclosure,Kingspan,kingspan-awp-evolution-codemark-certificate-en-nz.pdf,0.56,Kingspan Deep Dive - kingspan-awp-evolution-codemark-certificate-en-nz.pdf,Text Only,25,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-awp-evolution-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-awp-evolution-codemark-certificate-en-nz.pdf,0.56,Kingspan Deep Dive - kingspan-awp-evolution-codemark-certificate-en-nz.pdf,Text Only,25,0,B_Enclosure/Kingspan/07_Evolution_Panelised_Facade/kingspan-awp-evolution-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-controlled-environment-greentag-certificate-en-nz-au.pdf,0.79,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/06_Coldstore_Panel/kingspan-controlled-environment-greentag-certificate-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf,0.88,Kingspan Deep Dive - kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf,Text Only,49,0,B_Enclosure/Kingspan/07_Evolution_Panelised_Facade/kingspan-evolution-panelised-facade-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf,0.51,Kingspan Deep Dive - kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf,Text Only,18,0,B_Enclosure/Kingspan/03_KRock_Firemaster_Wall_Panel/kingspan-k-roc-firemaster-wall-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf,2.19,Kingspan Deep Dive - kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf,Text Only,27,0,B_Enclosure/Kingspan/03_KRock_Firemaster_Wall_Panel/kingspan-k-roc-firemaster-wall-vertical-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf,3.36,Kingspan Deep Dive - kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf,Text Only,44,0,B_Enclosure/Kingspan/02_KRock_Rockspan_Wall_Panel/kingspan-k-roc-rockspan-wall-horizontal-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf,0.60,Kingspan Deep Dive - kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf,Text Only,47,0,B_Enclosure/Kingspan/02_KRock_Rockspan_Wall_Panel/kingspan-k-roc-rockspan-wall-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf,3.41,Kingspan Deep Dive - kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf,Text Only,68,0,B_Enclosure/Kingspan/02_KRock_Rockspan_Wall_Panel/kingspan-k-roc-rockspan-wall-vertical-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-codemark-certificate-en-nz.pdf,0.53,Kingspan Deep Dive - kingspan-ks1000rw-codemark-certificate-en-nz.pdf,Text Only,5,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-codemark-certificate-en-nz.pdf,0.53,Kingspan Deep Dive - kingspan-ks1000rw-codemark-certificate-en-nz.pdf,Text Only,5,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-codemark-certificate-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf,0.95,Kingspan Deep Dive - kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf,Text Only,5,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-roof-panel-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf,0.84,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf,Text Only,4,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-trapezoidal-roof-panel-installation-guide-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf,6.51,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf,Text Only,13,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-trapezoidal-roof-panel-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,0.67,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,Text Only,28,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,0.67,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf,Text Only,28,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-ks1000rw-trapezoidal-roof-wall-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,0.71,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf,0.70,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf,Text Only,9,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf,3.03,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf,Text Only,42,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-horizontal-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf,3.70,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf,Text Only,34,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-trapezoidal-wall-panel-technical-drawing-vertical-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf,0.96,Kingspan Deep Dive - kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf,Text Only,14,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-ks1000rw-wall-panel-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1100cs-coldstore-panel-data-sheet-en-nz.pdf,0.43,Kingspan Deep Dive - kingspan-ks1100cs-coldstore-panel-data-sheet-en-nz.pdf,Text Only,34,0,B_Enclosure/Kingspan/06_Coldstore_Panel/kingspan-ks1100cs-coldstore-panel-data-sheet-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1100cs-coldstore-panel-environmental-product-declaration-en-nz-au.pdf,1.07,Kingspan Deep Dive - kingspan-ks1100cs-coldstore-panel-environmental-product-declaration-en-nz-au.pdf,Text Only,35,0,B_Enclosure/Kingspan/06_Coldstore_Panel/kingspan-ks1100cs-coldstore-panel-environmental-product-declaration-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ks1100cs-coldstore-panel-technical-drawing-standard-en-nz.pdf,3.19,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/06_Coldstore_Panel/kingspan-ks1100cs-coldstore-panel-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ksn1000fc-five-crown-horizontal-wall-technical-drawing-standard-en-nz.pdf,3.20,Kingspan Deep Dive - kingspan-ksn1000fc-five-crown-horizontal-wall-technical-drawing-standard-en-nz.pdf,Text Only,20,0,B_Enclosure/Kingspan/08_Fivecrown_Roof_Wall_Panel/kingspan-ksn1000fc-five-crown-horizontal-wall-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ksn1000fc-five-crown-roof-technical-drawing-standard-en-nz.pdf,5.17,Kingspan Deep Dive - kingspan-ksn1000fc-five-crown-roof-technical-drawing-standard-en-nz.pdf,Text Only,129,0,B_Enclosure/Kingspan/08_Fivecrown_Roof_Wall_Panel/kingspan-ksn1000fc-five-crown-roof-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-ksn1000fc-five-crown-vertical-wall-technical-drawing-standard-en-nz.pdf,3.83,Kingspan Deep Dive - kingspan-ksn1000fc-five-crown-vertical-wall-technical-drawing-standard-en-nz.pdf,Text Only,123,0,B_Enclosure/Kingspan/08_Fivecrown_Roof_Wall_Panel/kingspan-ksn1000fc-five-crown-vertical-wall-technical-drawing-standard-en-nz.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-roof-panels-greentag-certificate-en-nz-au.pdf,0.79,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-roof-panels-greentag-certificate-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-roof-panels-greentag-certificate-en-nz-au.pdf,0.79,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-roof-panels-greentag-certificate-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-panels-greentag-certificate-en-nz-au.pdf,0.80,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-wall-panels-greentag-certificate-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-panels-greentag-certificate-en-nz-au.pdf,0.80,Kingspan Deep Dive - kingspan-ks1000rw-trapezoidal-wall-panel-installation-guide-horizontal-en-nz.pdf,Text Only,11,0,B_Enclosure/Kingspan/07_Evolution_Panelised_Facade/kingspan-wall-panels-greentag-certificate-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,0.48,Kingspan Deep Dive - kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,Text Only,3,0,B_Enclosure/Kingspan/01_Architectural_Wall_Panel/kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,0.48,Kingspan Deep Dive - kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,Text Only,3,0,B_Enclosure/Kingspan/04_Trapezoidal_Wall_Panel/kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,0.48,Kingspan Deep Dive - kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,Text Only,3,0,B_Enclosure/Kingspan/05_Trapezoidal_Roof_Panel/kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,0.48,Kingspan Deep Dive - kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,Text Only,3,0,B_Enclosure/Kingspan/06_Coldstore_Panel/kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf
Product Rep,B_Enclosure,Kingspan,kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,0.48,Kingspan Deep Dive - kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf,Text Only,3,0,B_Enclosure/Kingspan/07_Evolution_Panelised_Facade/kingspan-wall-roof-ceiling-greentag-certification-scope-en-nz-au.pdf
Product Rep,B_Enclosure,Wall Cladding,Hardie_Oblique_and_Stria_Cladding_Vertical_Installation_Guide.pdf,3.20,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Hardie_Oblique_and_Stria_Cladding_Vertical_Installation_Guide.pdf
Product Rep,B_Enclosure,Wall Cladding,HomeRAB_Pre-Cladding_and_RAB_Board_Installation_Manual.pdf,3.33,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/HomeRAB_Pre-Cladding_and_RAB_Board_Installation_Manual.pdf
Product Rep,B_Enclosure,Wall Cladding,James_Hardie_Facades_Installation_Manual.pdf,0.25,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/James_Hardie_Facades_Installation_Manual.pdf
Product Rep,B_Enclosure,Wall Cladding,James_Hardie_Fire_and_Acoustic_Design_Manual.pdf,0.25,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/James_Hardie_Fire_and_Acoustic_Design_Manual.pdf
Product Rep,B_Enclosure,Wall Cladding,Linea_Weatherboard_Direct_Fix_Technical_Specification.pdf,7.86,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Direct_Fix_Technical_Specification.pdf
Product Rep,B_Enclosure,Wall Cladding,Linea_Weatherboard_Installation_Checklist.pdf,0.47,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Installation_Checklist.pdf
Product Rep,B_Enclosure,Wall Cladding,Linea_Weatherboard_Installation_Guide.pdf,7.10,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Installation_Guide.pdf
Product Rep,B_Enclosure,Wall Cladding,Linea_Weatherboard_Installation_Guide_Apr23.pdf,7.10,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Linea_Weatherboard_Installation_Guide_Apr23.pdf
Product Rep,B_Enclosure,Wall Cladding,RAB_Board_Installation_Guide_Legacy.pdf,2.66,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/RAB_Board_Installation_Guide_Legacy.pdf
Product Rep,B_Enclosure,Wall Cladding,Stria_Cladding_Vertical_40mm_Structural_Cavity_Batten.pdf,10.85,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Stria_Cladding_Vertical_40mm_Structural_Cavity_Batten.pdf
Product Rep,B_Enclosure,Wall Cladding,Stria_Cladding_Vertical_Installation_Technical_Specification.pdf,10.88,,Not Ingested,0,0,B_Enclosure/Wall_Cladding/James_Hardie/Stria_Cladding_Vertical_Installation_Technical_Specification.pdf
